Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-01;Ajuste de Salida;8.0;Almacen Central;0.0;1.0;87190.0;0.0;0.0;1.0;87182.59;0.999899;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-02;Guía de remisión - R;265.0;Almacen Central;0.0;3000.0;84190.0;0.0;0.0;2999.7;84182.89;0.999899;Madrid INMOBILIARIA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-03;Guía de remisión - R;115.0;Almacen Central;0.0;1500.0;82690.0;0.0;0.0;1499.85;82683.04;0.999899;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-06;Guía de remisión - R;117.0;Almacen Central;0.0;1000.0;83190.0;0.0;0.0;999.9;83182.99;0.999899;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-06;Guía de remisión - R;118.0;Almacen Central;0.0;413.0;83777.0;0.0;0.0;412.96;83769.93;0.999899;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-10;Guía de remisión - R;271.0;Almacen Central;0.0;1172.0;84190.0;0.0;0.0;1171.88;84183.01;0.9999;SETECOM AIR;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-11;Guía de remisión - R;122.0;Almacen Central;0.0;1500.0;84190.0;0.0;0.0;1499.85;84183.16;0.999901;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-13;Guía de remisión - R;123.0;Almacen Central;0.0;1500.0;85690.0;0.0;0.0;1499.85;85683.16;0.999902;CIM;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-15;Guía de remisión - R;125.0;Almacen Central;0.0;1700.0;92609.0;0.0;0.0;1699.85;92602.16;0.999909;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-17;Guía de remisión - R;127.0;Almacen Central;0.0;1200.0;93109.0;0.0;0.0;1199.89;93102.12;0.999909;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-22;Guía de remisión - R;131.0;Almacen Central;0.0;1719.0;92590.0;0.0;0.0;1718.84;92583.17;0.999909;Madrid INMOBILIARIA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-09-30;Ajuste de Salida;10.0;Almacen Central;0.0;4000.0;90309.0;0.0;0.0;3999.64;90302.37;0.999909;Consultores en Ingeniería y Mantenimiento General S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-07;Guía de remisión - R;141.0;Almacen Central;0.0;3000.0;95854.0;0.0;0.0;2999.74;95847.4;0.999913;ELCONSI;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-07;Ajuste de Salida;21.0;Almacen Punto de Venta 2;0.0;3000.0;95854.0;0.0;0.0;2999.74;95847.4;0.999913;CIM;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-11;Venta Tienda Sin Doc;7.0;Almacen Punto de Venta 2;0.0;10.0;95844.0;0.0;0.0;10.0;95837.4;0.999913;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-11;Venta Tienda Sin Doc;10.0;Almacen Punto de Venta 2;0.0;1.0;95843.0;0.0;0.0;1.0;95836.4;0.999913;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-12;Venta Tienda Sin Doc;12.0;Almacen Punto de Venta 2;0.0;5.0;95838.0;0.0;0.0;5.0;95831.4;0.999913;NEVADO CONSTRUCTORA;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-13;Salida por Consumo;12.0;Almacen Punto de Ventas 1;0.0;300.0;103697.0;0.0;0.0;299.98;103690.42;0.999919;Madrid INMOBILIARIA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-10-13;Salida por Consumo;15.0;Almacen Punto de Ventas 1;0.0;200.0;103497.0;0.0;0.0;199.98;103490.44;0.999919;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector B
