Código;Salida_Total;Descripción;Stock_Promedio;Rotacion
CP-00050;582.0;CAJA DE PASE 300X300X100MM CIEGA (F. G. 0.75).;38.18421052631579;15.241902136457616
UNC-00001;1961.0;"UNION EMT 20MM/ 3/4"" -UL";129.52564102564102;15.139859447688806
CPE-00004;419.0;CAJA GANG 100X100X50MM  3/4 (F. G. 1.50);27.75;15.0990990990991
TPH-00006;20208.0;TAPA OCTOG  3/4 (F. G. 0.75).;1340.4722222222222;15.075284414696315
CP-00085;11.0;CAJA DE PASE 450X450X100MM CIEGA (F. G. 1.20).;0.7333333333333333;15.000000000000002
CPE-00378;24.0;CAJA DE PASE 250X250X120MM CIEGA (F. G. 1.20);1.6;15.0
CPE-00088;89.0;CAJA DE PASE 250X250X150MM CIEGA (F.G. 1.50);5.933333333333334;15.0
CPE-00136;10.0;CAJA DE PASE 1100X1100X200MM CIEGA (F. G.1.50);0.6666666666666666;15.0
CPE-00223;18.0;CAJA DE PASE 900X600X200MM CIEGA (F. G. 1.50);1.2;15.0
CPE-00030;228.0;CAJA DE PASE 100X100X100MM CIEGA (F.G. 1.20);15.2;15.0
CP-00055;10.0;CAJA DE PASE 350X350X100MM (F.G. 0.70);0.6666666666666666;15.0
CCL-00004;32.0;CAJA CONDULET TIPO LB 3/4;2.1333333333333333;15.0
COC-00006;56.0;"CONECTOR EMT 100MM/ 4"" -UL";3.7333333333333334;15.0
CPE-00222;10.0;CAJA DE PASE 900X450X200MM CIEGA (F. G. 1.50);0.6666666666666666;15.0
CPE-00448;241.0;CAJA DE PASE 200X200X100MM 3/4 (F. G. 1.20).;16.066666666666666;15.0
CPE-00562;52.0;CAJA DE PASE 200X100X70MM 3/4 (F. G. 1.20);3.466666666666667;15.0
CPE-00124;107.0;CAJA DE PASE 650X350X150MM CIEGA (F.G. 1.20);7.133333333333334;15.0
CPE-00370;253.0;CAJA DE PASE 150X150X50MM 3/4 (F.G.1.50);16.866666666666667;15.0
CPE-00651;432.0;CAJA DE PASE 300X100X70MM 3/4 (F. G. 1.20);28.8;15.0
