Código;Num_Transacciones;Salida_Total;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max;Descripción;Acumulado_pct
CP-00064;37;151.0;4.081081081081081;5.203515789980519;1.0;30.0;CAJA DE PASE 400X400X100MM (F.G 0.75).;99.43052858683187
CPE-00159;4;150.0;37.5;14.433756729740644;25.0;50.0;CAJA DE PASE 100X100X100MM HCO ESP (F. G. 1.20);99.43396178479878
CPE-00707;3;150.0;50.0;17.320508075688775;30.0;60.0;CAJA DE PASE 100X100X70MM 3/4 (F° G° 0.70);99.4373949827657
ABZ-00027;6;146.0;24.333333333333332;20.165977949672232;6.0;50.0;"ABRAZADERA UNISTRUT 1 1/4"" EMT - RIGID";99.44073662878682
CPE-00561;2;145.0;72.5;12.020815280171307;64.0;81.0;CAJA DE PASE 300X100X70MM 1/2 (F. G. 1.20);99.4440553868215
TBC-00024;5;145.0;29.0;25.387004549572207;3.0;60.0;"TUBERIA IMC 20MM/ 3/4"" X 3MTS";99.4473741448562
CPE-01053;16;144.0;9.0;6.397916327472041;2.0;20.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 0.80);99.45067001490443
TBC-00006;13;142.0;10.923076923076923;7.729397760730763;2.0;30.0;"TUBERIA CONDUIT EMT 25MM/ 1"" X 3MTS-UL PESADO";99.45392010897977
RUNIS-00008;2;140.0;70.0;0.0;70.0;70.0;RIEL UNISTRUT BAJO 410X210X2400mm (F°G° 1.15);99.45712442708223
CPE-00309;1;138.0;138.0;;138.0;138.0;CAJA DE PASE 120X160X75MM (F.G. 1.20);99.46028296921179
TPC-00016;22;136.0;6.181818181818182;14.575375070356111;1.0;69.0;TAPA CIEGA 300X300MM (F.G 0.75).;99.46339573536847
(Automático);1;135.0;135.0;;135.0;135.0;CAJA DE PASE 200X200X75MM (F.G.1.50);99.4664856135387
CP-00029;11;132.0;12.0;8.414273587185052;2.0;25.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 0.60);99.46950682774957
CPE-00290;5;130.0;26.0;22.594247055390007;1.0;50.0;CAJA DE PASE 150X150X50MM 1/2 (F. G. 0.70);99.47248226598757
'95;6;129.0;21.5;24.197107265125723;6.0;70.0;TAPA CIEGA 150X150MM (F.G.1.20);99.47543481623912
CPE-00463;2;126.0;63.0;4.242640687119285;60.0;66.0;CAJA DE PASE 200X200X100MM 3/4 (F.G.0.90);99.47831870253133
CPE-00071;6;126.0;21.0;30.893364983439405;1.0;76.0;CAJA DE PASE 200X200X150MM (F.G. 1.50);99.48120258882354
